gbifID,accessRights,bibliographicCitation,language,license,modified,publisher,references,rightsHolder,type,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,recordedByID,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,reproductiveCondition,caste,behavior,vitality,establishmentMeans,degreeOfEstablishment,pathway,georeferenceVerificationStatus,occurrenceStatus,preparations,disposition,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,organismID,organismName,organismScope,associatedOrganisms,previousIdentifications,organismRemarks,materialEntityID,materialEntityRemarks,verbatimLabel,materialSampleID,eventID,parentEventID,eventType,fieldNumber,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,samplingProtocol,sampleSizeValue,sampleSizeUnit,samplingEffort,fieldNotes,eventRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,verticalDatum,verbatimDepth,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,verbatimCoordinateSystem,verbatimSRS,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceRemarks,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,identificationID,verbatimIdentification,identificationQualifier,typeStatus,identifiedBy,identifiedByID,dateIdentified,identificationReferences,identificationVerificationStatus,identificationRemarks,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericName,subgenus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarEpithet,taxonRank,verbatimTaxonRank,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,datasetKey,publishingCountry,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,distanceFromCentroidInMeters,issue,mediaType,hasCoordinate,hasGeospatialIssues,taxonKey,acceptedTaxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKey,speciesKey,species,acceptedScientificName,verbatimScientificName,typifiedName,protocol,lastParsed,lastCrawled,repatriated,relativeOrganismQuantity,projectId,isSequenced,gbifRegion,publishedByGbifRegion,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,level3Gid,level3Name,iucnRedListCategory
694450,,,,CC_BY_NC_4_0,2019-09-16T00:00:00Z,,,,,,,,LD,General,,,PRESERVED_SPECIMEN,,,,LD:General:1133325,1133325,,"B. Örneberg, S.-E. Johansson, F. Skovgaard, H. Ohrt",,1.0,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2004-07-06,,188.0,188.0,2004.0,7.0,6.0,,,,,,,,,,,,EUROPE,,,,DK,Sjælland,Tårnby,,Peberholm,,,,,,,,,55.595556,12.757778,,,,RT90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centaurium pulchellum (Sw.) Druce,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,,Gentianaceae,,,,Centaurium,Centaurium,,,pulchellum,,,SPECIES,,,ICN,ACCEPTED,,,aab0cf80-0c64-11dd-84d1-b8a03c50a862,SE,2024-10-13T02:02:19.879Z,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,True,False,7439391,7439391,6,7707728,220,412,2503,7412173,,7439391,Centaurium pulchellum,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum,,EML,2024-10-13T02:02:19.879Z,2024-10-13T01:47:22.751Z,True,,,False,EUROPE,EUROPE,DNK,Denmark,DNK.1_1,Hovedstaden,DNK.1.29_1,Tårnby,,,LC
694449,,,,CC_BY_NC_4_0,2019-09-16T00:00:00Z,,,,,,,,LD,General,,,PRESERVED_SPECIMEN,,,,LD:General:1133265,1133265,,B. Örneberg & S.-E. Johansson,,1.0,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2005-07-08,,189.0,189.0,2005.0,7.0,8.0,,,,,,,,,,,,EUROPE,,,,DK,Sjælland,Tårnby,,Peberholm,,,,,,,,,55.595556,12.757778,,,,RT90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centaurium pulchellum (Sw.) Druce,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,,Gentianaceae,,,,Centaurium,Centaurium,,,pulchellum,,,SPECIES,,,ICN,ACCEPTED,,,aab0cf80-0c64-11dd-84d1-b8a03c50a862,SE,2024-10-13T02:02:20.245Z,,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,,True,False,7439391,7439391,6,7707728,220,412,2503,7412173,,7439391,Centaurium pulchellum,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum,,EML,2024-10-13T02:02:20.245Z,2024-10-13T01:47:22.751Z,True,,,False,EUROPE,EUROPE,DNK,Denmark,DNK.1_1,Hovedstaden,DNK.1.29_1,Tårnby,,,LC
4951453044,,Arter.dk Miljøstyrelsen,da,CC_BY_4_0,2024-10-03T13:04:43.582Z,,,,,,,,MST-and-NHMD,,,,HUMAN_OBSERVATION,,,"""{""""Substrate"""":""""""""}""",https://arter.dk/observation/record-details/73167ba5-cc7f-4c03-8a4c-b1fd00c1ae63,Arter_73167ba5-cc7f-4c03-8a4c-b1fd00c1ae63,,Christian Bertelsen,,,,,,,,,,,,,,,PRESENT,,,,,,,,"kronflige mindre end 4mm, bæger kortere end kronrør som taler for en meget blomsterig liden t. bladroset visnet, hvis til stede. ",,,,,,,,,,,,,,,2024-10-02,13:41:22.889+02:00,276.0,276.0,2024.0,10.0,2.0,,,,,,,,,,,,EUROPE,,,,DK,,,,,,,,,,,,,55.116036,15.145822,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christian Bertelsen,,,,,,MSTSNM:Arter:55f127b1-6a7b-4879-8974-abc800d9e300,,,,,,,,Centaurium pulchellum (Sw.) Druce,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,,Gentianaceae,,,,Centaurium,Centaurium,,,pulchellum,,,SPECIES,,Liden tusindgylden,,ACCEPTED,,,963a6b96-4d22-4428-86e4-afee52cf4a8e,DK,2024-10-09T11:05:11.212Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,True,False,7439391,7439391,6,7707728,220,412,2503,7412173,,7439391,Centaurium pulchellum,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum (Sw.) Druce,,DWC_ARCHIVE,2024-10-09T11:05:11.212Z,2024-10-09T10:49:05.389Z,False,,,False,EUROPE,EUROPE,DNK,Denmark,DNK.1_1,Hovedstaden,DNK.1.4_1,Bornholm,,,LC
4951451679,,Arter.dk Miljøstyrelsen,da,CC_BY_4_0,2024-10-06T13:24:42.935Z,,,,,,,,MST-and-NHMD,,,,HUMAN_OBSERVATION,,,"""{""""Substrate"""":""""""""}""",https://arter.dk/observation/record-details/368098ad-605c-4726-975e-b1c1010d4ffa,Arter_368098ad-605c-4726-975e-b1c1010d4ffa,,Grethe Bergholdt,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2024-08-03,12:36:16.000+02:00,216.0,216.0,2024.0,8.0,3.0,,,,,,,,,,,,EUROPE,,,,DK,,,,,,,,,,,,,55.540222,10.620833,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grethe Bergholdt,,,,,,MSTSNM:Arter:55f127b1-6a7b-4879-8974-abc800d9e300,,,,,,,,Centaurium pulchellum (Sw.) Druce,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,,Gentianaceae,,,,Centaurium,Centaurium,,,pulchellum,,,SPECIES,,Liden tusindgylden,,ACCEPTED,,,963a6b96-4d22-4428-86e4-afee52cf4a8e,DK,2024-10-09T11:04:32.454Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,True,False,7439391,7439391,6,7707728,220,412,2503,7412173,,7439391,Centaurium pulchellum,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum (Sw.) Druce,,DWC_ARCHIVE,2024-10-09T11:04:32.454Z,2024-10-09T10:49:05.389Z,False,,,False,EUROPE,EUROPE,,,,,,,,,LC
4948363298,,Arter.dk Miljøstyrelsen,da,CC_BY_4_0,2024-09-25T13:47:43.199Z,,,,,,,,MST-and-NHMD,,,,HUMAN_OBSERVATION,,,"""{""""Substrate"""":""""""""}""",https://arter.dk/observation/record-details/672fd742-d037-460b-add0-b1f600e3570f,Arter_672fd742-d037-460b-add0-b1f600e3570f,,Jens Christian Schou,,,,,,,,,,,,,,,PRESENT,,,,,,,,Ekspertvalideret af Jens Christian Schou,,,,,,,,,,,,,,,1991-08-18,00:00:00.000+02:00,230.0,230.0,1991.0,8.0,18.0,,,,,,,,,,,,EUROPE,,,,DK,,,,,,,,,,,,,55.500075,8.25751,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Christian Schou,,,,,,MSTSNM:Arter:55f127b1-6a7b-4879-8974-abc800d9e300,,,,,,,,Centaurium pulchellum (Sw.) Druce,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,,Gentianaceae,,,,Centaurium,Centaurium,,,pulchellum,,,SPECIES,,Liden tusindgylden,,ACCEPTED,,,963a6b96-4d22-4428-86e4-afee52cf4a8e,DK,2024-10-09T11:05:01.501Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,,True,False,7439391,7439391,6,7707728,220,412,2503,7412173,,7439391,Centaurium pulchellum,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum (Sw.) Druce,,DWC_ARCHIVE,2024-10-09T11:05:01.501Z,2024-10-09T10:49:05.389Z,False,,,False,EUROPE,EUROPE,DNK,Denmark,DNK.5_1,Syddanmark,DNK.5.20_1,Varde,,,LC
4948362737,,Arter.dk Miljøstyrelsen,da,CC_BY_4_0,2024-09-25T13:47:43.208Z,,,,,,,,MST-and-NHMD,,,,HUMAN_OBSERVATION,,,"""{""""Substrate"""":""""""""}""",https://arter.dk/observation/record-details/e99ff599-c794-49e4-83c2-b1f600e35712,Arter_e99ff599-c794-49e4-83c2-b1f600e35712,,Jens Christian Schou,,,,,,,,,,,,,,,PRESENT,,,,,,,,Ekspertvalideret af Jens Christian Schou,,,,,,,,,,,,,,,1988-08-16,00:00:00.000+02:00,229.0,229.0,1988.0,8.0,16.0,,,,,,,,,,,,EUROPE,,,,DK,,,,,,,,,,,,,57.05871,9.860213,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jens Christian Schou,,,,,,MSTSNM:Arter:55f127b1-6a7b-4879-8974-abc800d9e300,,,,,,,,Centaurium pulchellum (Sw.) Druce,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,,Gentianaceae,,,,Centaurium,Centaurium,,,pulchellum,,,SPECIES,,Liden tusindgylden,,ACCEPTED,,,963a6b96-4d22-4428-86e4-afee52cf4a8e,DK,2024-10-09T11:06:20.634Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,,True,False,7439391,7439391,6,7707728,220,412,2503,7412173,,7439391,Centaurium pulchellum,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum (Sw.) Druce,,DWC_ARCHIVE,2024-10-09T11:06:20.634Z,2024-10-09T10:49:05.389Z,False,,,False,EUROPE,EUROPE,DNK,Denmark,DNK.3_1,Nordjylland,DNK.3.1_1,Aalborg,,,LC
4947313236,,Arter.dk Miljøstyrelsen,da,CC_BY_4_0,2024-09-21T18:14:39.457Z,,,,,,,,MST-and-NHMD,,,,HUMAN_OBSERVATION,,,"""{""""Substrate"""":""""""""}""",https://arter.dk/observation/record-details/18ab6605-de45-49cd-89d0-b1f200aee407,Arter_18ab6605-de45-49cd-89d0-b1f200aee407,,Per Rasmussen,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2024-09-21,12:35:19.536+02:00,265.0,265.0,2024.0,9.0,21.0,,,,,,,,,,,,EUROPE,,,,DK,,,,,,,,,,,,,54.758773,10.676599,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Per Rasmussen,,,,,,MSTSNM:Arter:55f127b1-6a7b-4879-8974-abc800d9e300,,,,,,,,Centaurium pulchellum (Sw.) Druce,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,,Gentianaceae,,,,Centaurium,Centaurium,,,pulchellum,,,SPECIES,,Liden tusindgylden,,ACCEPTED,,,963a6b96-4d22-4428-86e4-afee52cf4a8e,DK,2024-10-09T11:04:09.005Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,True,False,7439391,7439391,6,7707728,220,412,2503,7412173,,7439391,Centaurium pulchellum,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum (Sw.) Druce,,DWC_ARCHIVE,2024-10-09T11:04:09.005Z,2024-10-09T10:49:05.389Z,False,,,False,EUROPE,EUROPE,DNK,Denmark,DNK.5_1,Syddanmark,DNK.5.12_1,Langeland,,,LC
4946270090,,,,CC_BY_NC_4_0,2024-09-11T12:44:47Z,,https://www.inaturalist.org/observations/240730052,lenaquist,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,,,https://www.inaturalist.org/observations/240730052,240730052,,lenaquist,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2024-09-07T14:01:56,14:01:56+02:00,251.0,251.0,2024.0,9.0,7.0,2024-09-07 14:01:56+02:00,,,,,,,,,,,EUROPE,,,,DK,Sjælland,,,,"Sjælland, Føllenslev, DK-85, DK",,,,,,,,55.742203,11.302308,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538209963,,,,lenaquist,,2024-09-09T10:49:31,,,,76217,,,,,,,,Centaurium pulchellum (Sw.) Druce,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,,Gentianaceae,,,,Centaurium,Centaurium,,,pulchellum,,,SPECIES,,,,ACCEPTED,,,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2024-10-12T11:50:08.478Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,True,False,7439391,7439391,6,7707728,220,412,2503,7412173,,7439391,Centaurium pulchellum,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum,,DWC_ARCHIVE,2024-10-12T11:50:08.478Z,2024-10-11T19:15:54.224Z,True,,,False,EUROPE,NORTH_AMERICA,DNK,Denmark,DNK.4_1,Sjælland,DNK.4.5_1,Kalundborg,,,LC
4929333655,,Arter.dk Miljøstyrelsen,da,CC_BY_4_0,2024-09-05T12:55:05.621Z,,,,,,,,MST-and-NHMD,,,,HUMAN_OBSERVATION,,,"""{""""Substrate"""":""""""""}""",https://arter.dk/observation/record-details/d7744e48-f5bd-4e3c-8407-b1e200bbecf2,Arter_d7744e48-f5bd-4e3c-8407-b1e200bbecf2,,Frank Desting,,,,,,,,,,,,,,,PRESENT,,,,,,,,Klydesøreservatet,,,,,,,,,,,,,,,2024-09-05,13:22:39.775+02:00,249.0,249.0,2024.0,9.0,5.0,,,,,,,,,,,,EUROPE,,,,DK,,,,,,,,,,,,,55.586265,12.541733,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frank Desting,,,,,,MSTSNM:Arter:55f127b1-6a7b-4879-8974-abc800d9e300,,,,,,,,Centaurium pulchellum (Sw.) Druce,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,,Gentianaceae,,,,Centaurium,Centaurium,,,pulchellum,,,SPECIES,,Liden tusindgylden,,ACCEPTED,,,963a6b96-4d22-4428-86e4-afee52cf4a8e,DK,2024-10-09T11:05:57.627Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,True,False,7439391,7439391,6,7707728,220,412,2503,7412173,,7439391,Centaurium pulchellum,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum (Sw.) Druce,,DWC_ARCHIVE,2024-10-09T11:05:57.627Z,2024-10-09T10:49:05.389Z,False,,,False,EUROPE,EUROPE,DNK,Denmark,DNK.1_1,Hovedstaden,DNK.1.29_1,Tårnby,,,LC
4927213021,,Arter.dk Miljøstyrelsen,da,CC_BY_4_0,2024-08-25T00:48:22.836Z,,,,,,,,MST-and-NHMD,,,,HUMAN_OBSERVATION,,,"""{""""Substrate"""":""""""""}""",https://arter.dk/observation/record-details/c68da671-fc1d-485e-b331-b1d600f9f52c,Arter_c68da671-fc1d-485e-b331-b1d600f9f52c,,Erik Aabjerg Friis,,,,,,,,,,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,,,,,2024-08-24,16:56:03.887+02:00,237.0,237.0,2024.0,8.0,24.0,,,,,,,,,,,,EUROPE,,,,DK,,,,,,,,,,,,,55.606926,12.741749,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dan Hua Wang;Erik Aabjerg Friis;Morten Kofoed-Hansen,,,,,,MSTSNM:Arter:55f127b1-6a7b-4879-8974-abc800d9e300,,,,,,,,Centaurium pulchellum (Sw.) Druce,,,,,,,,Plantae,Tracheophyta,Magnoliopsida,Gentianales,,Gentianaceae,,,,Centaurium,Centaurium,,,pulchellum,,,SPECIES,,Liden tusindgylden,,ACCEPTED,,,963a6b96-4d22-4428-86e4-afee52cf4a8e,DK,2024-10-09T11:05:49.358Z,,,,,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED,StillImage,True,False,7439391,7439391,6,7707728,220,412,2503,7412173,,7439391,Centaurium pulchellum,Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum (Sw.) Druce,,DWC_ARCHIVE,2024-10-09T11:05:49.358Z,2024-10-09T10:49:05.389Z,False,,,False,EUROPE,EUROPE,DNK,Denmark,DNK.1_1,Hovedstaden,DNK.1.29_1,Tårnby,,,LC
